タイプ,フルネーム,名前,コード,説明,色,備考,商品m,商品n,隠し勘定科目,税金,プレースホルダー
LIABILITY,負債:預り保証金,預り保証金,,預り保証金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:従業員預り金,従業員預り金,,従業員預り金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:退職給付引当金,退職給付引当金,,退職給付引当金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:所得税預り金,所得税預り金,,所得税預り金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:長期借入金,長期借入金,,長期借入金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:社会保険料預り金,社会保険料預り金,,社会保険料預り金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:長期未払金,長期未払金,,長期未払金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:仮受消費税,仮受消費税,,仮受消費税,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:退職給付に係る負債,退職給付に係る負債,,退職給付に係る負債,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:未払消費税,未払消費税,,未払消費税,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:未払法人税等,未払法人税等,,未払法人税等,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:未払配当金,未払配当金,,未払配当金,,,JPY,CURRENCY,F,F,F
EQUITY,純資産,純資産,,純資産,,,JPY,CURRENCY,F,F,T
EQUITY,純資産:資本金,資本金,,資本金,,,JPY,CURRENCY,F,F,F
EQUITY,純資産:株式申込証拠金,株式申込証拠金,,株式申込証拠金,,,JPY,CURRENCY,F,F,F
EQUITY,純資産:利益準備金,利益準備金,,利益準備金,,,JPY,CURRENCY,F,F,F
EQUITY,純資産:資本準備金,資本準備金,,資本準備金,,,JPY,CURRENCY,F,F,F
EQUITY,純資産:繰越利益剰余金,繰越利益剰余金,,繰越利益剰余金,,,JPY,CURRENCY,F,F,F
EQUITY,純資産:その他資本剰余金,その他資本剰余金,,その他資本剰余金,,,JPY,CURRENCY,F,F,F
EQUITY,純資産:配当平均積立金,配当平均積立金,,配当平均積立金,,,JPY,CURRENCY,F,F,F
EQUITY,純資産:修繕積立金,修繕積立金,,修繕積立金,,,JPY,CURRENCY,F,F,F
EQUITY,純資産:新築積立金,新築積立金,,新築積立金,,,JPY,CURRENCY,F,F,F
EQUITY,純資産:別途積立金,別途積立金,,別途積立金,,,JPY,CURRENCY,F,F,F
EQUITY,純資産:その他有価証券評価差額金,その他有価証券評価差額金,,その他有価証券評価差額金,,,JPY,CURRENCY,F,F,F
EQUITY,純資産:非支配株主持分,非支配株主持分,,非支配株主持分,,,JPY,CURRENCY,F,F,F
EQUITY,純資産:資本剰余金,資本剰余金,,資本剰余金,,,JPY,CURRENCY,F,F,F
EQUITY,純資産:利益剰余金,利益剰余金,,利益剰余金,,,JPY,CURRENCY,F,F,F
INCOME,収益,収益,,収益,,,JPY,CURRENCY,F,F,T
INCOME,収益:商品売買益,商品売買益,,商品売買益,,,JPY,CURRENCY,F,F,F
INCOME,収益:役務収益,役務収益,,役務収益,,,JPY,CURRENCY,F,F,F
INCOME,収益:売上,売上,,売上,,,JPY,CURRENCY,F,F,F
INCOME,収益:仕入割引,仕入割引,,仕入割引,,,JPY,CURRENCY,F,F,F
INCOME,収益:有価証券売却益,有価証券売却益,,有価証券売却益,,,JPY,CURRENCY,F,F,F
INCOME,収益:受取家賃,受取家賃,,受取家賃,,,JPY,CURRENCY,F,F,F
INCOME,収益:受取地代,受取地代,,受取地代,,,JPY,CURRENCY,F,F,F
INCOME,収益:有価証券評価益,有価証券評価益,,有価証券評価益,,,JPY,CURRENCY,F,F,F
INCOME,収益:受取手数料,受取手数料,,受取手数料,,,JPY,CURRENCY,F,F,F
INCOME,収益:受取配当金,受取配当金,,受取配当金,,,JPY,CURRENCY,F,F,F
INCOME,収益:受取利息,受取利息,,受取利息,,,JPY,CURRENCY,F,F,F
INCOME,収益:有価証券利息,有価証券利息,,有価証券利息,,,JPY,CURRENCY,F,F,F
